HYDROSTATIC TABLE – BG ARK CARNELIAN
Condition: NO TRIM, NO HEEL, VCG = 0.000

Draft (m) | DISP (MT) | LCB (m) | VCB (m) | TPC | LCF (m) | deg trim | KML | KMT

0.500 | 894.77 | 47.171f | 0.255 | 18.69 | 47.315f | 15479 | 221.20 | 18.920
0.550 | 988.53 | 47.186f | 0.281 | 18.83 | 47.311f | 15714 | 218.69 | 18.674
0.600 | 1083.03 | 47.198f | 0.307 | 18.98 | 47.323f | 15960 | 216.19 | 18.436
0.650 | 1178.16 | 47.209f | 0.333 | 19.08 | 47.350f | 16186 | 213.79 | 18.209
0.700 | 1273.65 | 47.221f | 0.358 | 19.15 | 47.413f | 16385 | 211.48 | 17.990
0.750 | 1369.61 | 47.234f | 0.384 | 19.25 | 47.464f | 16626 | 209.26 | 17.780
0.800 | 1465.98 | 47.249f | 0.410 | 19.33 | 47.528f | 16889 | 207.09 | 17.575
0.850 | 1562.73 | 47.262f | 0.436 | 19.41 | 47.514f | 17051 | 204.64 | 17.343
0.900 | 1659.80 | 47.273f | 0.461 | 19.47 | 47.498f | 17215 | 202.51 | 17.151
0.950 | 1757.18 | 47.283f | 0.487 | 19.53 | 47.479f | 17377 | 200.48 | 16.962
1.000 | 1854.88 | 47.293f | 0.513 | 19.59 | 47.454f | 17538 | 198.52 | 16.779
1.050 | 1952.88 | 47.297f | 0.539 | 19.65 | 47.436f | 17702 | 196.62 | 16.603
1.100 | 2051.19 | 47.303f | 0.565 | 19.71 | 47.414f | 17869 | 194.75 | 16.433
1.150 | 2149.82 | 47.305f | 0.590 | 19.62 | 47.095f | 17632 | 193.02 | 16.269
1.200 | 2248.17 | 47.298f | 0.616 | 19.70 | 47.102f | 17843 | 191.30 | 16.111
1.250 | 2346.78 | 47.289f | 0.642 | 19.75 | 47.054f | 17997 | 189.05 | 15.959
1.300 | 2445.67 | 47.280f | 0.667 | 19.81 | 47.032f | 18152 | 188.06 | 15.813
1.350 | 2544.82 | 47.270f | 0.693 | 19.85 | 47.029f | 18278 | 186.53 | 15.671
1.400 | 2644.22 | 47.260f | 0.719 | 19.91 | 47.008f | 18438 | 185.03 | 15.535
1.450 | 2743.90 | 47.251f | 0.745 | 19.97 | 46.987f | 18600 | 183.59 | 15.403
1.500 | 2843.86 | 47.241f | 0.770 | 20.03 | 46.959f | 18770 | 182.12 | 15.271
1.550 | 2944.31 | 47.231f | 0.795 | 20.09 | 46.955f | 18947 | 179.63 | 15.103
1.600 | 3044.66 | 47.221f | 0.821 | 20.15 | 46.945f | 19133 | 177.46 | 14.950
1.650 | 3145.51 | 47.211f | 0.848 | 20.22 | 46.938f | 19327 | 175.36 | 14.822
